Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fex10_1,fex10_2,fex10_3,fex2_1,fex2_2,fex2_3,S2R_1,S2R_2,S2R_3
Dtg,1340.8414504833552,5.552582217567814,0.12859539658865943,43.17870129775302,0,0,1165.0249139915331,1183.2253909282485,1150.5821521167936,2827.5054953656604,2744.2599780868045,2819.3857422531883,49.44279553574338,71.80426002234746,56.34232604987655
CG10126,2545.1962012539807,3.9160395986060594,0.10071087121059157,38.883980959884866,0,0,3903.7271350971528,4291.928576609338,4061.39981248163,3210.2341397659848,3373.903594344454,3401.7850997792452,255.26280485895418,222.3937497914373,186.1308985576279
CecA1,2588.924218996639,7.3110678735279535,0.16000270379856707,45.69340204858106,0,0,2340.6114206482616,2204.864935518278,2184.775936244894,5305.478198141229,5565.328891289377,5594.852844430641,40.24413590118647,25.929316119181028,38.232292676701945
rgn,3066.0784445637496,4.133333950121795,0.10934296015386893,37.80155525609797,0,0,7099.827561626226,7003.443327097774,7512.037808184499,1862.8730957036187,1813.070172115401,1981.1125686337168,108.08425070604366,118.67648531471318,95.58073169175485
Drs,7796.2675529349835,7.66566075857085,0.13988243339676762,54.800739252424144,0,0,10622.524930571337,11528.88951389912,12175.3317522648,12264.890895298144,12441.150971837897,10958.65545194111,51.7424604443826,59.836883351956224,63.385116806111114
HGTX,1688.8982918486038,-4.406767144125574,0.09090760278812034,-48.475232092485044,0,0,227.48045740420454,200.15795159314865,216.14982626471556,208.9385966879321,231.37506380552188,214.81943515305363,4810.898988873262,4654.312243392995,4435.9520634626015
bam,1144.8413220565863,-3.540756610549958,0.09610183631701119,-36.84379764471994,3.676077246228004e-297,5.071936292010009e-294,307.91104770069114,303.36439538336595,270.4643979927723,249.9452371593954,256.029783719225,239.6430143262954,2776.8453771818663,3121.490748193716,2777.877896851949
AttD,1131.2794135581426,4.954925507058363,0.1378071487826831,35.95550412897738,4.152029193000109e-283,5.012537243249382e-280,1290.1391655638458,1158.205646979105,1255.885913630373,2065.9536008956275,2282.45810893398,1925.7368920164854,75.88894198509449,59.836883351956224,67.40956866681658
CG18557,1811.5458324189183,2.973227904938913,0.08406563977968343,35.36793287639343,5.315264394970328e-274,5.703869280735937e-271,2979.9939919950793,3094.1083350440895,3138.0520931046653,2182.13908223144,2079.5307988750387,2029.8049739350759,255.26280485895418,260.2904425810096,284.7299691449118
Pvf3,1613.6152912565947,4.691717398079958,0.13277902220067211,35.3347789456474,1.7176729072615955e-273,1.658928493833249e-270,2410.4804182795533,2609.350796029433,2767.8262368358705,2101.1021498711675,2078.5825404168195,2302.864344840735,101.18525598012599,87.76076224953579,63.385116806111114
