Symbol,baseMean,log2FoldChange,padj
HGTX,1688.8982918486038,-4.406767144125574,0
bam,1144.8413220565863,-3.540756610549958,5.071936292010009e-294
Nazo,571.969008984753,-3.567348906389306,1.3063565369114965e-228
CG6999,447.71857834732754,-4.35823995836182,3.068285142146238e-189
CG32706,340.8643344697109,-4.118020865604121,1.0867622215952269e-133
Nepl20,2212.079039443682,-2.0731101326276145,1.2848099699223807e-115
pon,205.45318249443264,-3.5786093619512447,3.3311403161390333e-105
betaNACtes6,192.40241120706918,-5.010775331558429,4.545109239164118e-103
Prx2540-1,625.1027373063581,-2.042744871542082,2.05311231837123e-100
betaNACtes3,169.47227849786557,-4.83204284740524,8.823128131001175e-93
Nepl19,2214.376624427822,-1.3541919814786798,1.4383953394649877e-89
pst,1365.6528230574106,-1.6731307744912893,1.164429447506929e-75
CG8500,524.65596362536985,-2.0128745237373726,2.800837033082582e-70
Fas1,1031.83607091277,-1.840809722624583,3.16151714468017e-70
CG4570,524.8651086842705,-1.8254040657465347,2.350069883512642e-67
peb,164.1548259597443,-2.9398082261096805,9.385579953907096e-66
Gr61a,141.2837170056694,-3.053608956757534,2.787033774868135e-62
trol,2181.3606055306395,-1.6165676595499974,7.7132183642281e-62
Ser,100.40128051114651,-3.566346996812042,8.768820917743821e-60
GlyS,1576.559396616347,-1.577450055370726,2.797508001098641e-59
Idgf6,7803.633689214092,-1.5348218853611337,2.165063681614187e-56
Rab23,207.0143602325334,-2.5226878083013524,3.852062603924131e-55
Ptp52F,137.7235186635764,-2.6384914527766754,1.1674647880998014e-52
CG5399,343.29558627468356,-2.2012395375965546,1.7272985305050526e-49
CG30339,569.7757190132395,-1.3832036145414448,5.000889295954935e-49
Prx2540-2,554.0281427241525,-1.9044133628350968,1.1312487874786272e-48
Nplp2,109.6901735998938,-3.5250391949729876,3.802865848641451e-48
CG5144,484.6390373792005,-1.3945182987805225,4.609136323113066e-48
Rpt3R,128.13498066876977,-2.5645132350848274,2.277864094855927e-47
CG30424,117.29240524273494,-2.693432795389996,3.882680301433911e-47
CG13742,228.6074653863126,-2.066985180475415,1.0498359151191674e-43
CG5973,72.10434539830347,-3.945265549345296,5.426668745533342e-43
CG3376,169.5440664791858,-2.0924009255144593,2.6648196912556587e-42
CG32187,199.56987392021438,-2.4189755184725943,4.823666768495058e-42
CG8468,1004.5877153013982,-1.2882775456832734,6.325880243636756e-42
Ugt305A1,134.49529884685566,-2.233876501568522,1.0039912583600218e-41
CG30059,1284.917721774666,-1.094136496153609,1.957439300187666e-41
CG18823,307.2753349503767,-2.1686075269848004,7.092956796959455e-41
CG15056,222.69352828665288,-2.773174149205164,9.151828072501245e-41
CG15209,300.732533911071,-1.714205183665251,9.36314181959719e-41
Glt,22131.832382363,-1.0692841135740934,1.2689550561458234e-38
Ppa,646.360912957193,-1.4508783752957766,1.5251325202788304e-38
SelG,1139.1618343652688,-1.356547640179127,4.097889239710195e-38
Pxn,4784.640480188866,-1.1987889050992895,6.608178406103901e-38
GlcAT-P,293.91184396041206,-1.4743954205467455,1.0273049885597201e-37
eIF4E6,268.75311446207115,-1.6712480874426434,3.501701431812115e-37
Lerp,417.923707452028,-1.5472982446118517,8.785996942313229e-37
mamo,234.54634907167028,-1.890226986290034,1.371576534989016e-35
CG17681,132.16057802258214,-2.114366191544724,1.6787806477085052e-35
RpS19b,1393.7938511186624,-1.349929451313513,1.1333384876240434e-34
CG31997,115.22840891677482,-2.6438510039848464,1.5069808858183037e-34
CG12896,175.8655907854304,-2.042622396530593,1.5823345289311004e-34
CG31689,639.7817891644946,-1.2383889924123574,2.9725384193286784e-34
GstT4,669.1402452247511,-1.3331661704653486,1.4635965115066054e-33
Pask,351.9272423352233,-1.2878348464731606,9.298389434208907e-33
CG6891,1877.4654227904502,-1.1989419799266883,2.713218963013488e-32
CG12926,75.82070717877947,-2.635004518813859,1.0366220394197992e-30
CG13692,69.28646359188812,-2.6728315518258188,1.3460541972002332e-29
CG11125,275.73774670921495,-1.27910262669346,1.4488974417441483e-29
CG18278,1378.4103869688852,-1.0072059127711739,1.837820041613969e-29
Ant2,396.37565899278485,-1.543291891754186,6.502869585106668e-29
CG30383,150.60667375136237,-2.064504003481929,1.1123302906586923e-27
Kebab,113.31152403503766,-2.1164693745487115,8.759535122422149e-27
CG8112,767.5653086633225,-1.1144942386138865,9.092026821293786e-27
Dlip2,531.8519478001564,-1.0065863093951126,7.098476659652043e-26
CG16749,474.6141259433152,-1.2870677794589502,3.7645160864514616e-25
CG11825,63.96052691985598,-2.9290302710213156,1.451481294520092e-24
Arpc3B,865.2761565437836,-1.0814984575689084,4.0409898088486484e-24
comt,57.67682909986241,-2.8357662035333036,4.824762758701288e-23
Idgf2,1271.452964731361,-1.1328774077925845,8.31028577138926e-23
CG7213,41.8134921812085,-3.877868680659348,1.1014373174522124e-22
MtnA,940.3730312602721,-2.0010522239781277,1.2997182616400132e-22
CG3788,129.91377789636022,-2.0394735025117887,2.4325338496542865e-22
CG41128,422.7845942068999,-1.5371841863577576,1.6866026076127259e-21
CG12493,262.33928521122436,-1.347526008923068,2.0592897516447788e-21
CG33978,82.72724435460421,-2.1381856483938826,2.566392534201852e-21
CG8349,111.23628388642703,-1.7602154927277227,1.4477571817555137e-20
CG8353,196.14817876137874,-1.2821451587829666,1.166637734796885e-19
apolpp,159.8590746663982,-1.873366918748074,7.042996738511038e-19
Apoltp,721.911966176431,-1.3679860873646834,2.287377044875807e-18
CG9961,109.03460523772632,-1.5991656229767548,2.9839698578398074e-18
fs(1)N,39.317050675355695,-2.694816783745879,3.859013881390081e-17
exu,405.526063555468,-1.1236894083115248,4.3770151041358806e-17
CG31075,1054.50523160844,-1.2794179209067922,1.0480006686451399e-16
dpr7,549.243439196599,-1.1886393514002473,1.246852000194495e-16
Sps2,610.8727604803316,-1.0504984902325905,2.837399398658482e-16
Trf4-2,71.82162716846726,-1.7776539250038275,7.001606508537068e-16
ckd,237.28508165170143,-1.1845948550912482,9.27152916623269e-16
betaNACtes2,27.30220270495438,-5.2845374029727195,3.2760167615628125e-15
CG10089,188.6358731986868,-1.138136835689486,5.389917401915754e-15
sn,261.9577903104351,-1.0759905633658038,6.762441278050685e-15
ey,72.46501661674549,-1.5464113623920235,4.80800378398898e-14
Whamy,141.9148061520512,-1.222511208431365,1.456777721083963e-13
Reg-5,190.4727083039598,-1.1590068009883345,1.904902837546491e-13
CG10841,20.64372196273686,-4.12798450091838,2.553591593225802e-13
betaNACtes4,21.069337250253277,-4.251778472624234,2.7546416229143154e-13
NaCP60E,112.94327567219175,-1.3587646208860882,4.840258133863176e-13
unc,33.533040367997046,-2.441638497922088,1.0613746147163117e-12
CG42255,65.66091145812712,-1.892166097965318,7.193177079113424e-12
nAChRbeta3,197.08610166056857,-1.2249843261413698,7.653971848976491e-12
Unc-89,33.740242188197804,-2.502809148126005,8.115655565534563e-12
Sema2a,89.7183077593665,-1.5948241505922642,1.1056076347859468e-11
CG30340,81.84053535581698,-1.3678912492100783,1.3623123669233036e-11
CG18605,133.03049462644333,-1.190264433109911,1.817622663093476e-11
CG5964,18.501529070258915,-3.652263484434696,2.0038983003151232e-11
wus,111.21046244595605,-1.1980720033827184,2.4070342489919797e-11
Ptth,60.51093790814257,-1.433134786921803,3.09929230757923e-11
Mos,70.1213763914876,-1.4189094205126676,5.536063657885771e-11
betaNACtes1,18.101860264969726,-4.937990969203734,6.24289973665566e-11
CG4324,31.14671500546194,-2.1931230093308685,1.2114702607878698e-10
CG15674,129.10224005791903,-1.2488786193191217,1.2545536799210351e-10
cuff,41.66537231256803,-1.8289469556111413,1.8970382975584193e-10
CG3984,151.06004765811124,-1.134830094625706,2.3436840504068634e-10
Atf6,625.7697448892261,-1.1426412105685175,4.957023707952052e-10
CG6345,83.78274685673453,-1.2485332545971417,8.414434596334027e-10
CG34423,166.28420065680623,-1.1224421940518414,9.615628797814324e-10
CG9521,41.995802936051774,-3.1003642851540856,3.2405551190280868e-9
Cc2d2a,79.77297844362641,-1.2747226845742552,5.500787549421091e-9
SkpB,32.62449057975769,-2.011635509324903,1.1732745747116818e-8
CG43064,48.32613418386915,-1.6216060027695853,1.9531665133344352e-8
moon,40.535732407084176,-1.6247033426214628,2.3387063173400373e-8
CG7352,84.88513281821875,-1.211790731689494,2.4822372392820236e-8
corn,27.440060149536254,-1.8869428985710128,3.900581031414942e-8
CG43998,24.71385454085359,-2.062425945906878,8.883326446565704e-8
CG42694,95.47651216150139,-1.0973436213456587,1.6720062996146646e-7
CG14829,20.15862982060821,-2.3922560736346568,2.2052427666989858e-7
fus,23.918584003350038,-2.412518546848184,2.7134451729265525e-7
CG43999,25.14050157846803,-1.986233839207138,3.1909818278102675e-7
para,89.3811306029394,-1.0275438804974726,5.840732136406812e-7
CG34112,79.06966649994035,-1.0698167334431452,7.596881200393149e-7
nAChRbeta2,11.148060138673596,-4.91633566710712,7.85078019438834e-7
CG33474,10.529623694362693,-3.400232025663463,1.2375108906559325e-6
swa,26.795932996918268,-1.941052778533946,1.3860299976688587e-6
CG16743,49.51570046747647,-1.2788051300646217,1.8744129407625684e-6
CG1503,24.670605880714092,-1.6891465315468361,3.516489284732937e-6
CG12698,54.17652815940167,-1.1056615129516738,3.938161400426737e-6
Taf12L,22.50772528880452,-1.8786751656027165,4.194262738711925e-6
CG10486,56.869184002273684,-1.1684417045686122,4.322456265331696e-6
Appl,65.7204137253408,-1.0656173685338568,5.389838056671639e-6
CG7963,29.317867788564012,-1.4410656806468112,6.686321754519547e-6
CG12477,28.15002706655854,-1.6204942661367854,1.3885191963514942e-5
CG16957,30.66925375893205,-1.6008389656236561,1.400476392375081e-5
CG11294,21.64388419655561,-1.7203023055969755,2.3851303066935404e-5
Nep5,23.32534932560511,-1.5752778329180428,3.0128302899909436e-5
ninaG,19.91575068458576,-1.8058020564096262,5.465793751212609e-5
CG14757,11.660814260838563,-2.479635473833422,5.5070875398693536e-5
CG10939,41.05017780844596,-1.1561957049069187,7.967424636052456e-5
BBS8,11.45619018421255,-2.1996157057494217,9.10545434950669e-5
CG12934,27.71972173753449,-1.4742027816653647,9.425758154612189e-5
CG1077,21.173737195198807,-1.597864781268068,1.0516220292174006e-4
CG4408,18.397206810169806,-1.6903438248539382,1.111345779230494e-4
clos,31.80087784004613,-1.3090675430279521,1.1724143843863725e-4
PICK1,16.846531936600073,-1.8386953688314436,1.475316924588063e-4
CG15484,37.74531527826275,-1.098617993740982,1.6391957820295898e-4
Reg-2,22.357848630464876,-1.4238429373516324,2.515473253215399e-4
CG10505,33.69960314884591,-1.2423249720666512,3.641548925531033e-4
Sema5c,6.919397691607427,-2.9683034727170514,4.2994833293820965e-4
CG11983,18.7485070697961,-1.4012040450064491,7.440212047299354e-4
KFase,22.89008833038106,-1.5219233861798918,7.53132205696029e-4
CG32719,11.955359896854226,-1.8372145241398221,7.753021948042373e-4
CG10801,37.11620583036031,-1.1225826334393656,8.058376049191423e-4
CG13148,12.116344056196652,-1.827659639172213,0.001404207334045718
firl,14.84476934963472,-1.58390766750485,0.001475156831190383
Acp26Aa,2.194500474585586,-5.076083543967763,0.00224799613151441
Ca-alpha1T,5.122785865895198,-3.2347047151256665,0.0024497973626490146
DAT,14.452330111387472,-1.5410871782535343,0.002706149024776451
CG11951,5.25117352905625,-2.6428507833919914,0.00384836721390087
CG12017,3.081606796405486,-4.482219036315726,0.004094983642722592
CG13694,23.993221348291808,-1.1382567054023063,0.004306914879454283
sv,6.91806897651718,-2.2995344347134714,0.0044162673124920485
AANAT1,8.815520521421574,-1.785025379130589,0.0050691074817685025
PCNA2,23.921103893959692,-1.1396014760555395,0.005982741901230954
CG33181,12.581630899519908,-1.4616652908383891,0.006074037714708079
Dhit,24.430692361667397,-1.0059943307664738,0.006204860118542563
fuss,30.228425964149416,-1.1423848398889682,0.006225417911930607
Fcp3C,11.549823388956968,-1.5507468332305279,0.007348654692809216
Spn42Db,24.703455551972354,-1.050028213202999,0.007414010016276371
fan,24.729402506813706,-1.0924970852649225,0.00749808670978816
CG17207,18.522056182995573,-1.1496906418689945,0.007682515765435034
CG46427,18.522056182995573,-1.1496906418689945,0.007682515765435034
wat,20.064144490392064,-1.171789971358409,0.007861422838446631
CG30099,16.27763879518129,-1.2038925756253023,0.008556436982016241
CG15142,13.25106080396528,-1.392914986530944,0.009015370764691473
Smyd4-2,5.929769662791968,-2.32570301167512,0.009249027798017714
dao,2.438392834542483,-4.2947775560453145,0.009512336858698968
Cht2,22.941239664502145,-1.1142325847510879,0.010842681865050226
SecCl,11.070552763023759,-1.5115265172290755,0.011194666273673387
CG9503,9.98598548846794,-1.8021108063145415,0.012488217572636212
ry,8.474322872209164,-1.8640826348037458,0.012839867396886782
Muc68Ca,18.40882813814715,-1.1035283841435388,0.012931804730514807
Acp26Ab,1.5096088854584684,-4.561085091934767,0.01303546801374075
CG3706,9.400570251903677,-1.610084676320335,0.014550528267135553
CG1143,13.819203103482906,-1.2705923329776203,0.016226618180767153
LS2,2.0663780180399414,-3.9318275331318193,0.019433279818985637
