Symbol,baseMean,log2FoldChange,padj
Pvf2,3215.9255154755,3.6036856277576312,0
CG10126,2545.1962012539807,4.21142784855834,0
CG10232,2044.8079932458427,6.857721936417,0
T48,1711.3572934766635,3.703421211355619,0
Tsp42Ea,1609.0742712794133,3.0871173431876766,0
rgn,3066.0784445637496,6.067149781691529,0
Drs,7796.2675529349835,7.6103325917494296,0
CG18557,1811.5458324189183,3.5230280654437154,0
CecA1,2588.924218996639,6.021010610477544,1.0102697604826391e-304
Pvf3,1613.6152912565947,4.955747463042669,1.0441452679230613e-302
Nrg,655.416591948589,3.8491716191024734,4.1629885887074314e-255
CG32521,4186.299158485243,2.875330112688182,7.61073338403153e-248
Tsp42Ed,732.3077238887759,3.1209020848839306,8.394103038360634e-237
Dtg,1340.8414504833552,4.2906705682135655,2.474686080111359e-236
cv-2,1371.9686304564136,2.861104473406033,4.841051156611176e-220
CG46339,3425.3332243965096,2.935125721904306,5.7351727477987966e-220
CG10359,1046.541719195341,7.070522837274883,7.199041206650012e-203
mthl2,934.5796773814395,4.9873316971519275,8.932182361679751e-199
AttD,1131.2794135581426,4.195210127334629,1.7632225940287222e-198
Sulf1,3526.3935407932563,2.3791169747558105,4.84695839035338e-191
Esyt2,680.4164403480652,5.111536649506026,1.52311551417418e-184
KrT95D,7862.317096156632,1.3846192149035288,6.051013305968449e-180
CAH7,1789.382820285268,2.522955784081375,8.234769167481258e-169
edin,1262.8006327710398,5.398493746253554,2.2391399742507864e-164
CG44325,529.8783655818784,3.0818342528963805,2.325036330665719e-163
CG14273,2125.0571191235745,2.2231623951842012,2.77219198414037e-162
Socs36E,2042.7311632717324,1.9057917844958518,1.0813558096735482e-159
Mmp1,383.51490886167926,3.4392675389575484,9.247003033072792e-149
Sp212,591.0969533595635,3.497211518047206,9.658834693084381e-145
CG14567,803.7656907548362,7.360376378791699,8.774094340587067e-142
FER,5024.190870965662,1.6429340252277913,3.0756141672708505e-140
CG9932,2063.569099444674,1.7287517069177472,3.6811753017731887e-138
ItgaPS4,463.85773175940545,3.829288828049117,4.44380429894566e-137
scrib,6481.856361083817,1.6533829793713444,3.698107458123129e-134
CG15097,1166.6350912294174,2.318001958384891,7.855208361938295e-131
CG13117,1478.8267204579427,2.307114981422651,1.0301703892790851e-128
CG4927,465.6475062795238,4.72036380202372,1.0721004636536197e-128
CG42390,1116.5149261921847,1.9765765426023874,9.951977611094293e-126
wun2,336.32249431471,3.514840002294,1.2156357941436774e-121
drongo,3247.247103754313,1.2976359711638699,1.9230987077740382e-119
CG10132,317.95730863825503,4.5217251367929325,3.1097562110414414e-115
pain,534.3254794377327,7.016369856355088,3.1457128720879946e-114
cact,3393.369744362886,1.562508673530729,1.2794654825774208e-108
Tret1-2,530.5918342755397,2.8979857720828988,5.114485222033162e-108
CG8547,550.834587767364,2.501722984739624,1.1279152147688993e-105
rpr,768.7157778439439,2.1633600060688662,1.1837438788686634e-103
Lac,1479.3984883336861,1.6479657198069353,2.1044943381370905e-103
ome,582.6787032897565,2.5728770907253793,5.364132828725343e-103
Nrt,415.1639374542759,2.7878851478583337,1.3579005782665383e-102
lbm,368.30852406293025,2.3428750810075814,2.1728778267408242e-102
Tret1-1,672.3036422447437,2.610659506305339,1.0702449494534684e-101
CG42324,579.8159782377313,2.6883939941200645,2.0276261283935702e-101
Fhos,1256.1437928925882,2.149146984334337,5.645438516071218e-100
CG5895,625.9277405966287,2.0006242647016363,9.63464336115462e-100
bab2,264.9696323649959,3.8525238638186274,8.817125431724079e-96
dally,490.2958968092163,2.921145635411458,4.134602195413922e-95
Kal1,450.154992995024,2.6880802316740846,9.823004481539261e-94
CG13893,716.2965245932639,2.1108214077860095,9.823004481539261e-94
CG30460,217.7751240557572,4.038879525561634,8.191110659152513e-91
spir,574.8907156199443,2.218257278779273,2.825426907905354e-90
CG4793,427.7644002487833,2.924113871518716,7.503562262881692e-88
slgA,1319.407937642569,1.610980138854328,3.070160476915651e-87
CG8306,1581.7370524881078,1.4479557556892426,6.227865983523814e-87
Tep2,2508.8831260829684,2.230942324129367,1.0224065734276176e-86
pirk,1593.4455197828697,1.625098657551972,4.551272920345927e-86
Zasp52,3532.391211614291,1.9025213317106504,7.022270597270983e-86
AttB,835.0250357417048,7.543190466518851,4.9010223215206785e-85
CG7888,577.725144092753,2.6704406158018066,6.449130978436787e-84
Lmpt,1739.691597107668,1.6790264998835573,7.034505356712889e-83
Idgf5,572.3236665329941,1.9561025737072013,7.422353025982715e-81
Abl,9809.281825306996,1.3090256119189851,3.5439313360376465e-80
Ugt50B3,339.6651576669599,2.2784088646284446,6.347265740677959e-80
CG11155,282.4296974121223,3.446656687783078,3.8336244010172455e-79
toc,256.9612692513113,2.82666960855294,4.9503650397079226e-79
CG2841,327.1307021889902,2.732651178329336,9.833993957912567e-79
Myo61F,4967.42242480462,1.283154327902169,2.75864464958552e-76
robo2,2333.40806775053,1.4481042399404502,2.82095870729993e-76
GstE2,1016.3136371154404,2.290952123175088,1.1760449716811645e-75
SP1173,211.38762857971687,3.0785393341563667,1.4984926186076227e-75
PCB,915.3942875509423,2.1626433539257675,8.201602912961453e-72
CG15740,174.92939658080715,4.439925234338387,1.0703768402983879e-70
CG6231,444.6633415024133,2.2977555462707606,1.336274962074886e-70
CG7778,325.7076490311412,7.16301810788631,3.986561169298823e-70
B4,3595.0339065866256,1.1320621663961026,7.765195505985722e-70
ed,236.94581441110748,3.33225054528824,3.339292060932573e-69
CG11378,214.00512404252547,3.3246730710909955,3.635040648706672e-69
rdog,1923.755350950559,1.6181494337334648,7.782480336603456e-69
CG30015,2855.7680166917503,1.0523612816753876,1.036249027314847e-68
rut,1026.4604161140862,1.4445013509276166,1.759133034444721e-67
CecA2,679.0783306153946,6.899382912098505,1.294323930596408e-66
CG6569,203.55972104783913,2.6691566597851204,2.1980015772242926e-64
CG14516,341.1328126371434,2.0710941357530945,2.9891347005090517e-64
Cyp6a20,1594.4509796486475,1.842971026628458,8.602329088448868e-64
CG46313,2306.800293367114,1.5867553215726875,2.0307117815627031e-63
if,258.0138433085235,2.712086476454721,1.095518166409749e-59
bdg,6230.982346670396,1.3155335477561256,3.657048337909321e-59
CG31038,230.0790780021035,2.8953903449351968,3.7827610895501593e-59
CG32512,811.2138017772917,1.9680740699124712,2.374416038517702e-58
LpR2,471.77722453774516,2.1611925793028366,7.259626550875138e-57
DptB,419.25426150293777,5.555804381108833,7.565488842192402e-57
Fur1,3835.1387387815817,1.38509722432731,3.001212639343422e-56
CG14253,2864.335103168484,1.6442250305362227,5.85064725564586e-56
niki,229.49803877770617,2.4524725098260536,1.6034267900983307e-55
CG11638,909.8874805961681,1.4566681778712773,6.872764887432508e-55
Swim,134.65950256373665,3.1304012091339994,3.142917901908626e-54
slow,118.89525882653867,3.2500080440952677,3.7647178234552253e-54
Men,7306.921905550033,1.1242622207755384,1.110197510045019e-53
CG1607,111.31299102946852,4.077619697440679,1.3475656460223144e-53
CG12065,8949.064591143686,1.3300423667670782,3.0189335737227324e-53
Ect3,129.15568351627206,3.2766172296885885,3.5668567164136896e-53
CG31705,3350.0337971171907,1.227371446201927,6.186107719470423e-53
Tig,2672.457767914156,1.523918057922122,8.190360392832693e-53
Thor,578.1055326785316,1.5554840481072054,1.1764310946006836e-52
Timp,197.6218750579408,6.661235394545325,2.3779132898667467e-52
cher,14138.976951183255,1.1498456627792868,6.156108466385658e-52
Mmp2,11955.37814848189,1.1252934870514586,7.617767040726343e-52
Itgbn,1222.2065713927627,2.025726684205541,1.6224066737449687e-51
DAAM,1096.0032843807903,1.4952685213929473,2.3353528358934546e-51
CG5397,123.73776203441494,4.480245009041633,7.452995632478779e-51
CG12991,219.9550926246949,6.83334370967177,3.0942138367494584e-50
CG6006,423.29254090103535,1.8912941645145487,3.98580745472853e-50
GramD1B,2346.9498202791287,1.1639480611348105,7.913202363544776e-50
fon,154.21257033011173,2.6906061162462143,9.404422043274304e-50
C3G,3314.737748038609,1.1433310933923406,9.775963500904026e-50
CG7956,5906.443853225283,1.5964979418759153,1.3247879675445694e-49
fz2,782.6480281768476,1.3389805371035008,1.3968197352826983e-49
cora,15486.094257763634,1.117597428893142,2.099591831784235e-49
fry,4716.5287700443405,1.0226165747834626,2.8769750224219662e-49
stnA,898.4336809879744,1.4730764292672323,4.4014395231373916e-49
stnB,898.4336809879744,1.4730764292672323,4.4014395231373916e-49
Atpalpha,21321.5101402584,1.030841172695727,3.259114367259797e-48
CG34398,407.17993601217046,1.8761444613142915,1.0695701694936893e-47
pyr,107.75731825677391,4.665762564300485,9.376434779713906e-47
CG4607,238.31222259469192,2.0497042996636865,3.5297061292048624e-46
CG13654,1304.938632094338,1.4535948993361385,4.386354401146985e-46
CG17124,139.27917902407816,3.0470641713455366,7.484954763676565e-46
CG12075,250.32518247656822,1.8083295615240778,1.279482220881081e-45
CG34034,181.6402220636634,3.606732344846646,2.968286480260444e-45
Drip,118.30179399104792,5.901637783811986,4.9023639321212395e-45
CG44085,354.26415130337847,1.6917488574223596,1.0789591161042143e-44
olf413,216.1527128628064,2.5918326448339624,2.1024108320108698e-44
AdamTS-A,106.94797056064448,3.063004113735406,3.7647421435434615e-44
Vrp1,2233.621657703961,1.2183163489504094,5.543707382156424e-44
sli,1108.4324147802881,1.3945109392374115,4.232361036472967e-43
foi,5078.489780673786,1.204944984683279,6.483485072330022e-43
Dyrk2,3132.8119708071567,1.3058175293568788,7.857358667606682e-43
NK7.1,310.70111084636045,1.57539933565742,1.4055815089634402e-42
yellow-b,121.1629838834637,4.8337457045119026,2.83878017426871e-42
CG34430,173.2705398695731,2.1597710049580705,2.9261132894756394e-41
sbb,2198.6783182194476,1.0234405858248674,6.856432305840119e-41
gol,220.47705654979782,2.3526493944800464,1.1689936673894711e-40
CG9220,375.8240676517742,1.7061029852174059,2.548438771514534e-40
Pif1A,114.7094103875012,4.287501140429793,1.0048607193414074e-39
Pif1B,113.93474768844209,4.3354349235891005,1.2655036435216733e-39
CG6553,102.57195907768308,3.853564309066127,1.757000376180022e-39
Pdk1,5020.055643592957,1.0557487687445686,4.535541140263487e-39
bwa,856.4003192984695,1.0186783604939837,4.886796199054343e-38
CG2217,185.78147004587913,2.7440676860854687,1.5350039574719044e-37
CG42740,185.78147004587913,2.7440676860854687,1.5350039574719044e-37
dlp,283.00321234667314,1.800556512376708,2.3274286880806677e-37
vari,967.0693045950375,1.0866101578806056,2.5160022870309766e-37
Gadd45,892.6483238166547,1.0769760039376193,3.0087410301408067e-37
ATP8B,875.473942998623,1.5606319944955713,4.467258787706973e-37
CecB,150.65328951465597,4.6899057452974375,6.776383739624717e-37
CG10026,174.58897664641756,2.2638047347769032,7.3962997135758714e-37
upd3,193.80513859181158,2.008019407984417,5.212485709766723e-36
raskol,1078.7248090808243,1.0249921506181356,7.751107008189468e-36
Obp18a,269.1620806125612,1.7425303988288108,1.0014454805265798e-35
drpr,422.53253105569996,1.2004796534760946,1.1197601141185078e-35
Sep4,84.66734093856894,3.612604632173133,4.5661423208800444e-35
Mtk,200.62466409410658,6.233849826824452,7.218080580158826e-35
CG5758,144.99691853656617,2.9740190584727153,8.448753431561894e-35
CG32170,129.14845351855195,2.5966056315184867,9.83027300132221e-35
tx,96.7879000911147,6.271459862257766,2.2199198562773357e-34
GlyP,634.0159498167183,1.4968354866555333,2.3821730635182476e-34
CG4752,168.25274174670267,2.125328147634969,3.281625929109946e-34
Cht10,1422.5866781585758,1.5350938344518723,6.823318730298806e-34
insc,95.1257126050932,2.5001611222848728,8.775612268393932e-34
IP3K1,1150.203646179783,1.3508595121706253,2.253183319413591e-33
Gbs-76A,163.95746748056445,2.3491514290096713,4.468117425973125e-33
Pu,95.02305758577354,3.5892419677514527,9.376580977121172e-33
AttA,310.6737803205247,7.306460831469807,1.6666423747498866e-32
PPO1,83.85166675296094,5.605841626595149,1.7051819391769732e-32
Ih,270.27537107597186,1.4567654566439487,2.2021939580937994e-32
CG34417,2048.3871794414836,1.0664631497960848,2.4961307209444883e-32
CG30377,80.04142682068805,4.3587315543944625,3.541589072539134e-32
CG31324,2738.397343175921,1.1470151406575597,9.497259517889482e-32
LamC,187.29434864816156,1.9033986707678634,3.5508811733316235e-31
rdgB,194.27058879574892,1.6638411442781036,2.5977600418453044e-30
CG13917,1030.0088841381496,1.1558751569286945,3.1133160277832933e-30
CG3831,507.29901294841585,1.0620584073676025,6.661734458520067e-30
Fatp3,87.00609281833432,3.2870286648643767,1.1209349060552699e-29
shot,7843.5686772517165,1.3483949549861938,1.8576921523025873e-29
Fas3,77.61114056441986,4.733950920918012,1.8737150660101893e-29
bbg,93.0186437726817,2.7268810862925514,4.380990033103129e-29
CG31219,76.05090735425689,4.104207950357908,5.501363919346445e-29
Gbp2,102.42048072005389,2.350208753441171,2.081657404206139e-28
babos,167.80358323483702,1.9461944630142363,2.1068122229892704e-28
CG10011,1570.33798097148,1.2603228051218929,2.1830436514131807e-28
CG1544,103.92049829485111,2.8676865384819905,2.4920337780402113e-28
CG43175,858.47716041327,1.2418596634738792,4.1841710099161675e-28
jef,126.00926639284357,2.731766028570033,5.670490810673603e-28
mfas,124.4802484633341,2.0600859696284353,1.3717088537027705e-27
gas,823.1950274719222,1.290301089181579,1.6313852946673014e-27
Strn-Mlck,467.60687255026863,1.224788402245299,1.9572879988804375e-27
CG9312,127.2824098423275,2.240048449872962,1.9604934875232015e-27
mthl4,1449.045461392112,1.0966260622940947,3.796303625790503e-27
CG9717,83.90396717155647,3.382335483391407,3.939363814529759e-27
Nna1,77.55626281707283,2.7957687885263853,4.867841132034598e-27
Adgf-A,2817.402014040342,1.0544047061058683,1.2448166982606408e-26
Cyp6a9,76.42048110417115,2.8800635399256533,4.8723311013191735e-26
Ac13E,111.2585396248074,2.166671665464709,1.344756813672122e-25
Eip93F,158.43568477506275,1.6744194325069153,1.3750919666595338e-25
CG7497,60.76913347685044,5.500542129598648,3.402701582899323e-25
Gli,82.38501657535272,2.411368967607573,3.5193372637395275e-25
CG34347,55.70930957583194,3.880933937047362,3.6034617571593906e-25
ClC-a,60.60075211398648,3.281547501810467,3.6693410089205663e-25
sick,376.78763861835125,1.2609232962213235,4.425410058626506e-25
IntS12,996.7760320373035,1.9736052659773498,1.0893087997856369e-24
Gs2,119.44183168536246,2.056869050259033,1.4229976439970992e-24
CG43110,65.47313252235934,3.3043163825643687,1.904615081770483e-24
CG4629,58.83967947897384,3.6643243493545055,2.6965113872814418e-24
btsz,52.92076035857676,5.160841786546093,2.917890116313034e-24
Lip4,59.29154610374434,3.2343999777061487,4.317680439297703e-24
CG18249,169.96172278904666,1.5210751168533747,5.489110521338873e-24
GstE10,371.6181159626268,1.2453799129848728,9.781476728966077e-24
CG6959,55.87607630823106,4.714640498931431,1.2827983433554349e-23
meso18E,54.21186189758794,3.244599910780188,3.0754928437121315e-23
CG18473,47.33837874952864,3.4390357447181175,5.334941173934216e-23
PGRP-SA,986.465653431793,1.2397575972365835,8.646725578874523e-23
Dg,6968.656702409211,1.028900322260105,9.013751214609857e-23
axo,802.952063917183,1.2626109759642998,1.8631064881113193e-22
CG33225,80.57836703999203,6.100330520175969,2.37651843654893e-22
Tpi,627.563411796418,1.5413275064245227,2.468340297852444e-22
Spn77Ba,217.2659609107529,1.527125456622022,2.895764378040243e-22
Cad96Ca,87.20930568182382,2.23702819605934,3.300432533686832e-22
CG9631,104.19854407221375,1.940337366291828,3.7526438538201254e-22
CG42268,80.01076885236405,2.4030120212329984,5.895034496988641e-22
ebd2,86.03301269991348,2.0267985836741738,8.777824310411367e-22
bnl,887.628127991417,1.0256902684545135,1.0380195177225985e-21
Mrp4,3665.623581316511,1.0175324462017301,2.6429379110250816e-21
nkd,87.33359891493453,2.9563784286618064,3.1543273273871627e-21
CG14227,59.97086903546026,3.467590565821826,3.2031492599438084e-21
CG43340,294.52725567680596,1.0620325220033486,3.43332906018117e-21
Ugt302C1,701.9061138180402,1.1898451455836598,6.20299070988047e-21
FucTA,94.28176356088836,2.0597721321806577,7.481677124447836e-21
CG5111,235.97601130345484,1.3314842590135765,1.2594036181003635e-20
GstD5,127.89540243334172,1.7424914466733485,1.2617853718427655e-20
CG10433,219.78732400835656,1.3846656089130758,1.3737318321184637e-20
CG1494,53.61472890681807,2.994084227546194,1.4371502550512286e-20
CG15347,173.28938333904887,1.3743707102020204,2.1100374793224063e-20
CG5381,324.9924183001584,1.466477137110547,2.5337298644222368e-20
SclA,99.47423649208172,2.306343692566095,2.853127473575738e-20
SclB,99.98811958081598,2.3100355851489742,3.1343334310729584e-20
SKIP,50.790253275888496,3.0418040654291545,4.1157412545405685e-20
Myo28B1,50.375889168421935,2.9140729217228767,4.361610038263583e-20
ham,39.368339758933914,3.767030112285824,4.611976751894411e-20
