ENSEMBL ID,Gene Name,Chr,Strand,Start,End,fex10_1,fex10_2,fex10_3,fex2_1,fex2_2,fex2_3,S2R_1,S2R_2,S2R_3
FBgn0031081,Nep3,X,+,19961297,19969323,5,3,3,2,1,2,2,1,1
FBgn0052826,tRNA:Pro-CGG-1-1,X,+,20025099,20025170,0,0,0,0,0,0,0,0,0
FBgn0031085,CG9570,X,+,20051294,20052519,0,0,0,0,0,0,0,0,0
FBgn0062565,Or19b,X,+,20094398,20095767,15,12,8,5,4,3,7,6,9
FBgn0031088,CG15322,X,+,20133579,20138878,1,0,0,0,0,0,0,0,0
FBgn0041626,Or19a,X,-,20141819,20143188,8,6,5,2,3,4,3,0,5
FBgn0040784,karr,X,-,20110110,20110575,0,4,2,5,0,2,1,4,0
FBgn0031086,fd19B,X,-,20091428,20092408,0,3,1,0,1,4,2,0,3
FBgn0031082,CG17003,X,-,20000968,20002096,0,0,0,0,0,0,0,0,0
FBgn0031080,CG12655,X,-,19958393,19959403,6,1,1,3,0,1,0,0,0
FBgn0052821,CR32821,X,-,19910168,19910521,2,2,1,0,0,0,0,0,0
FBgn0053217,CG33217,3L,+,23126025,23132209,1943,1525,1358,1533,1809,1907,1559,1853,1298
FBgn0052350,Vps11,3L,-,23147656,23150499,1478,1168,1084,1280,1466,1615,1277,1529,962
FBgn0024733,RpL10,3L,-,23093190,23095471,186990,145170,129455,125839,150315,135763,159344,158854,144777
FBgn0040372,G9a,X,+,245978,254650,2799,2351,2212,2500,2514,2703,1841,2483,1843
FBgn0000316,cin,X,+,255674,258469,2907,2353,2181,2698,2748,3106,2767,3572,2539
FBgn0024989,CG3777,X,+,279703,350504,30,29,20,33,26,20,11,23,21
FBgn0040371,CG12470,X,+,307684,308935,3,7,5,2,10,2,6,0,1
FBgn0029521,Or1a,X,+,315123,316566,8,5,4,9,5,11,7,5,9
FBgn0004034,y,X,+,356509,361245,20,22,23,5,10,14,14,29,13
FBgn0000022,ac,X,+,370031,370947,0,0,0,0,0,0,0,1,0
FBgn0004170,sc,X,+,396060,397497,0,1,0,0,0,1,1,0,1
FBgn0002561,l(1)sc,X,+,409721,410817,0,0,0,0,0,0,1,1,0
FBgn0000137,ase,X,+,460747,463176,0,0,0,0,0,0,0,0,0
FBgn0029522,CG13373,X,+,476984,478191,680,546,460,691,737,723,637,662,802
FBgn0052817,CG32817,X,+,479066,480166,260,210,196,270,296,272,358,337,477
FBgn0029524,CG3176,X,+,481862,482768,316,273,224,356,361,307,421,387,518
FBgn0023536,CG3156,X,+,487878,490725,541,412,338,446,475,489,520,556,495
